[2024-05-21T09:34:08.573+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_400301.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_400301.csv, skipping download.
[2024-05-21T09:34:08.577+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_400201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_400201.csv, skipping download.
[2024-05-21T09:34:08.580+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_391201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_391201.csv, skipping download.
[2024-05-21T09:34:08.584+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_388401.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_388401.csv, skipping download.
[2024-05-21T09:34:08.587+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_387401.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_387401.csv, skipping download.
[2024-05-21T09:34:08.591+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_386301.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_386301.csv, skipping download.
[2024-05-21T09:34:08.594+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_383201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_383201.csv, skipping download.
[2024-05-21T09:34:08.598+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_381301.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_381301.csv, skipping download.
[2024-05-21T09:34:08.601+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_381201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_381201.csv, skipping download.
[2024-05-21T09:34:08.604+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_380201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_380201.csv, skipping download.
[2024-05-21T09:34:08.608+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_379402.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_379402.csv, skipping download.
[2024-05-21T09:34:08.612+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_379401.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_379401.csv, skipping download.
[2024-05-21T09:34:08.617+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_379201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_379201.csv, skipping download.
[2024-05-21T09:34:08.620+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_378201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_378201.csv, skipping download.
[2024-05-21T09:34:08.624+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_376401.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_376401.csv, skipping download.
[2024-05-21T09:34:08.627+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_376301.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_376301.csv, skipping download.
[2024-05-21T09:34:08.630+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_376203.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_376203.csv, skipping download.
[2024-05-21T09:34:08.634+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_376202.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_376202.csv, skipping download.
[2024-05-21T09:34:08.637+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_376201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_376201.csv, skipping download.
[2024-05-21T09:34:08.641+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_373301.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_373301.csv, skipping download.
[2024-05-21T09:34:08.644+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_373201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_373201.csv, skipping download.
[2024-05-21T09:34:08.647+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_363201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_363201.csv, skipping download.
[2024-05-21T09:34:08.651+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_360201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_360201.csv, skipping download.
[2024-05-21T09:34:08.654+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_357301.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_357301.csv, skipping download.
[2024-05-21T09:34:08.658+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_357201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_357201.csv, skipping download.
[2024-05-21T09:34:08.664+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_356301.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_356301.csv, skipping download.
[2024-05-21T09:34:08.669+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_356201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_356201.csv, skipping download.
[2024-05-21T09:34:08.675+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_353301.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_353301.csv, skipping download.
[2024-05-21T09:34:08.679+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_353201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_353201.csv, skipping download.
[2024-05-21T09:34:08.682+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_352201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_352201.csv, skipping download.
[2024-05-21T09:34:08.686+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_351201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_351201.csv, skipping download.
[2024-05-21T09:34:08.689+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_331402.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_331402.csv, skipping download.
[2024-05-21T09:34:08.694+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_331301.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_331301.csv, skipping download.
[2024-05-21T09:34:08.702+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_331201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_331201.csv, skipping download.
[2024-05-21T09:34:08.733+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_330201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_330201.csv, skipping download.
[2024-05-21T09:34:08.737+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_329201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_329201.csv, skipping download.
[2024-05-21T09:34:08.741+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_328301.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_328301.csv, skipping download.
[2024-05-21T09:34:08.745+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_328202.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_328202.csv, skipping download.
[2024-05-21T09:34:08.758+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_328201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_328201.csv, skipping download.
[2024-05-21T09:34:08.764+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_303301.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_303301.csv, skipping download.
[2024-05-21T09:34:08.768+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_303201.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_303201.csv, skipping download.
[2024-05-21T09:34:08.774+0000] {daily_ozonetmd_bsoup4.py:62} INFO - File daily_VR_300202.csv already exists at /opt/***/dags/data/21.05.2024/daily_VR_300202.csv, skipping download.
